ciclo;timestamp;profile;cpu_percent;cpu_cores;load_1min;load_5min;load_15min;mem_used_MB;mem_free_MB;swap_used_MB;swap_free_MB;disk_used_MB;disk_avail_MB;net_rx_kB;net_tx_kB;uptime_minutes;num_processes
41;2025-08-03 00:11:55;educador;2,7;6;0;04;0;1502;686;411;1636;35090;1745714;11408012616;40535305;43345;234
42;2025-08-03 00:12:56;educador;2,7;6;0;09;0;1506;682;411;1636;35090;1745714;11408012995;40535414;43346;235
43;2025-08-03 00:13:56;educador;4,1;6;0;11;0;1502;687;411;1636;35089;1745716;11408013345;40535517;43347;234
44;2025-08-03 00:14:56;educador;3;6;0;11;0;1506;682;408;1639;35089;1745716;11408013643;40535601;43348;234
45;2025-08-03 00:15:57;educador;4,2;6;0;04;0;1507;682;408;1639;35089;1745716;11408013982;40535677;43349;234
46;2025-08-03 00:16:57;educador;2,7;6;0;18;0;1503;686;408;1639;35089;1745716;11408014294;40535774;43350;234
47;2025-08-03 00:17:57;educador;2,9;6;0;06;0;1506;682;408;1639;35089;1745716;11408014726;40535865;43351;234
48;2025-08-03 00:18:57;educador;2,7;6;0;08;0;1516;669;408;1639;35087;1745718;11408015149;40535943;43352;236
49;2025-08-03 00:19:58;educador;2,8;6;0;03;0;1520;665;408;1639;35087;1745718;11408015465;40536016;43353;240
50;2025-08-03 00:20:58;educador;2,8;6;0;13;0;1515;670;408;1639;35087;1745717;11408015887;40536104;43354;235
51;2025-08-03 00:21:58;educador;1,5;6;0;05;0;1510;674;408;1639;35087;1745717;11408016216;40536200;43355;237
52;2025-08-03 00:22:59;educador;2,7;6;0;14;0;1615;571;408;1639;35085;1745719;11408016560;40536281;43356;238
53;2025-08-03 00:23:59;educador;2,9;6;0;05;0;1517;669;408;1639;35085;1745719;11408016947;40536353;43357;236
54;2025-08-03 00:24:59;educador;2,9;6;0;05;0;1518;668;408;1639;35085;1745720;11408017274;40536419;43358;237
55;2025-08-03 00:26:00;educador;2,7;6;0;31;0;1519;667;408;1639;35084;1745721;11408017611;40536493;43359;235
56;2025-08-03 00:27:00;educador;34,7;6;0;38;0;1516;506;408;1639;35249;1745555;11408017911;40536567;43360;234
57;2025-08-03 00:28:00;educador;41,9;6;0;49;0;1621;504;408;1639;35145;1745660;11408018276;40536651;43361;233
58;2025-08-03 00:29:01;educador;2,7;6;0;40;0;1754;439;408;1639;35076;1745728;11408018520;40536725;43362;232
59;2025-08-03 00:30:01;educador;2,7;6;0;68;0;1534;661;408;1639;35074;1745731;11408018744;40536786;43363;232
