ciclo;timestamp;profile;cpu_percent;cpu_cores;load_1min;load_5min;load_15min;mem_used_MB;mem_free_MB;swap_used_MB;swap_free_MB;disk_used_MB;disk_avail_MB;net_rx_kB;net_tx_kB;uptime_minutes;num_processes
46;2025-07-30 11:56:02;dapps;2,8;6;0;11;0;1805;421;599;1448;37099;1743706;9628656878;34266607;38289;233
47;2025-07-30 11:57:03;dapps;11;6;0;04;0;1807;419;599;1448;37099;1743706;9628657101;34266709;38290;234
48;2025-07-30 11:58:03;dapps;9,1;6;0;01;0;1803;422;599;1448;37099;1743706;9628657286;34266803;38291;235
49;2025-07-30 11:59:03;dapps;4;6;0;00;0;1802;422;599;1448;37099;1743706;9628657489;34266916;38292;240
50;2025-07-30 12:00:04;dapps;4,1;6;0;08;0;1803;421;599;1448;37099;1743706;9628657686;34267017;38293;235
51;2025-07-30 12:01:04;dapps;4;6;0;07;0;1818;281;598;1449;37099;1743706;9628657960;34267119;38294;236
52;2025-07-30 12:02:04;dapps;2,9;6;0;02;0;1813;286;598;1449;37099;1743706;9628658189;34267220;38295;235
53;2025-07-30 12:03:04;dapps;2,9;6;0;05;0;1811;288;598;1449;37099;1743706;9628658381;34267304;38296;234
54;2025-07-30 12:04:05;dapps;2,7;6;0;02;0;1811;287;598;1449;37099;1743706;9628658578;34267407;38297;235
55;2025-07-30 12:05:05;dapps;1,4;6;0;04;0;1817;281;598;1449;37099;1743706;9628658767;34267499;38298;235
56;2025-07-30 12:06:05;dapps;2,7;6;0;09;0;1812;286;598;1449;37099;1743706;9628658969;34267612;38299;236
57;2025-07-30 12:07:06;dapps;2,7;6;0;03;0;1811;286;598;1449;37099;1743706;9628659154;34267690;38300;235
58;2025-07-30 12:08:06;dapps;4,1;6;0;05;0;1813;284;598;1449;37099;1743706;9628659329;34267759;38301;235
59;2025-07-30 12:09:06;dapps;1,4;6;0;02;0;1812;285;598;1449;37099;1743706;9628659493;34267828;38302;234
