perfil;tipo;metrica;media;mediana;std;min;max;valores
lightning;sync;net_tx_kB;1663447.0;;;34354869.0;36018316.0;1084
analista;post;cpu_percent;6.890000000000001;2.7;15.755039010973222;1.4;100.0;60
analista;post;mem_used_MB;1909.8;1892.0;59.63527564868729;1879.0;2279.0;60
analista;post;disk_used_MB;835816.5166666667;835794.0;89.88457601640962;835793.0;836302.0;60
analista;post;net_rx_kB;63694.0;;;7558901338.0;7558965032.0;60
analista;post;net_tx_kB;6426.0;;;27773515.0;27779941.0;60
analista;post;uptime_minutes;32786.65;32786.5;17.689243116478963;32757.0;32817.0;60
analista;post;num_processes;235.88333333333333;236.0;2.1946905628508695;231.0;241.0;60
dapps;post;cpu_percent;7.966666666666667;2.8;19.043088222227716;1.4;100.0;60
dapps;post;mem_used_MB;1800.5666666666666;1801.5;13.893501305685096;1763.0;1844.0;60
dapps;post;disk_used_MB;37105.833333333336;37098.0;52.631487213717264;37081.0;37434.0;60
dapps;post;net_rx_kB;33572.0;;;9628625921.0;9628659493.0;60
dapps;post;net_tx_kB;7668.0;;;34260160.0;34267828.0;60
dapps;post;uptime_minutes;38272.5;38272.5;17.46424919657298;38243.0;38302.0;60
dapps;post;num_processes;235.11666666666667;235.0;1.3030819616854714;232.0;240.0;60
estandar;post;cpu_percent;5.593333333333333;2.8499999999999996;11.550638204785617;1.4;88.5;60
estandar;post;mem_used_MB;1941.3666666666666;1920.5;69.66796960368922;1914.0;2258.0;60
estandar;post;disk_used_MB;823301.4166666666;823273.0;118.01210677143585;823272.0;824063.0;60
estandar;post;net_rx_kB;68357.0;;;6180752785.0;6180821142.0;60
estandar;post;net_tx_kB;5203.0;;;23217689.0;23222892.0;60
estandar;post;uptime_minutes;27692.5;27692.5;17.46424919657298;27663.0;27722.0;60
estandar;post;num_processes;234.98333333333332;235.0;1.8999702644119767;232.0;241.0;60
validador;post;cpu_percent;4.721666666666666;2.8;10.108430642611996;1.4;79.0;60
validador;post;mem_used_MB;1895.4333333333334;1889.0;33.23535317346533;1881.0;2110.0;60
validador;post;disk_used_MB;823709.8;823701.0;23.868140597734467;823700.0;823877.0;60
validador;post;net_rx_kB;24303.0;;;6869493290.0;6869517593.0;60
validador;post;net_tx_kB;7005.0;;;25104252.0;25111257.0;60
validador;post;uptime_minutes;29927.5;29927.5;17.46424919657298;29898.0;29957.0;60
validador;post;num_processes;235.18333333333334;235.0;1.952761336200149;232.0;242.0;60
validador;sync;verificationprogress;0.6290150962401415;0.688966437618637;0.27591257280122555;8.207787475431314e-10;0.999894150706449;1931
validador;sync;cpu_percent;38.43309166235112;37.1;8.31899366929871;1.6;100.0;1931
validador;sync;mem_percent;12.713407560849301;12.79;0.6503336641607379;4.9;15.52;1931
validador;sync;disk_used_MB;527373.6017607457;589142.0;227509.33088408873;20933.0;823843.0;1931
validador;sync;net_rx_kB;688612842.0;;;6180880420.0;6869493262.0;1931
validador;sync;net_tx_kB;1873423.0;;;23230822.0;25104245.0;1931
