ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
86;2025-07-31 02:28:28;lightning;436927;907875;0.1369468280635863;37,1;12,89;24315;9720860327;34795745
87;2025-07-31 02:29:29;lightning;438089;907875;0.1386794170130172;35,5;13,09;24292;9721723520;34797146
88;2025-07-31 02:30:31;lightning;439537;907875;0.1405978541577903;35,5;13,97;24215;9722947165;34799742
89;2025-07-31 02:31:31;lightning;440760;907875;0.1425451272298071;37,5;13,52;24213;9723981325;34801826
90;2025-07-31 02:32:31;lightning;441948;907875;0.1443339293182685;36,5;13,68;24187;9725063208;34803764
91;2025-07-31 02:33:32;lightning;443121;907875;0.1460239731936367;38,1;12,73;24393;9726170478;34806013
92;2025-07-31 02:34:33;lightning;444280;907875;0.1478340345834877;39,1;12,83;24806;9727305156;34808570
93;2025-07-31 02:35:34;lightning;445661;907875;0.1499017852932021;54,7;13,67;24802;9728366985;34811513
94;2025-07-31 02:36:37;lightning;446590;907875;0.1512232428552206;35,5;13,93;24526;9729256402;34812762
95;2025-07-31 02:37:38;lightning;447639;907875;0.1529144034968945;36,5;12,90;24475;9730211620;34814167
96;2025-07-31 02:38:38;lightning;448933;907875;0.1547150197597589;37,1;12,75;24788;9731269366;34816863
97;2025-07-31 02:39:39;lightning;450202;907875;0.156478979067849;21;13,63;24710;9732347943;34819392
98;2025-07-31 02:40:39;lightning;451163;907875;0.1578295463876344;36,1;13,99;24328;9733255144;34821736
99;2025-07-31 02:41:39;lightning;452119;907875;0.1593646883149075;36,5;13,12;24911;9734190103;34823609
100;2025-07-31 02:42:40;lightning;453224;907876;0.1611109899025235;38,5;14,21;24695;9735238284;34826075
101;2025-07-31 02:43:42;lightning;454130;907877;0.1625608814529872;37,5;12,87;25360;9736361050;34829082
102;2025-07-31 02:44:42;lightning;455310;907877;0.1644791500494603;37,1;13,07;24975;9737275538;34831597
103;2025-07-31 02:45:43;lightning;456384;907877;0.1663126097156804;36,5;12,62;25032;9738386809;34834675
104;2025-07-31 02:46:48;lightning;457438;907877;0.1679460559776366;37,8;14,13;24781;9739508263;34838099
105;2025-07-31 02:47:49;lightning;458395;907878;0.1694352701223349;36,5;13,24;25086;9740347938;34840071
106;2025-07-31 02:48:55;lightning;459516;907878;0.171064480903792;36,5;13,59;24660;9741423549;34843100
107;2025-07-31 02:49:56;lightning;460649;907878;0.1727575151617151;36,5;14,45;24978;9742461573;34846376
108;2025-07-31 02:50:56;lightning;461536;907878;0.1740451682487342;40;12,94;24994;9743728456;34850922
109;2025-07-31 02:51:56;lightning;462823;907878;0.1760434656195218;42,2;14,71;24811;9744615532;34853434
110;2025-07-31 02:52:57;lightning;463831;907878;0.1776568240860449;29,7;13,59;24937;9745607852;34855796
111;2025-07-31 02:53:58;lightning;464834;907878;0.1793519633180855;35,9;13,33;25057;9746594923;34857967
112;2025-07-31 02:54:59;lightning;465747;907878;0.1808899218628301;35,9;12,96;24823;9747550169;34860051
113;2025-07-31 02:56:00;lightning;466789;907878;0.1826461420914825;39,7;13,25;25029;9748650417;34863791
114;2025-07-31 02:57:00;lightning;467902;907879;0.1845859052759309;40,6;13,02;25220;9749649206;34866287
115;2025-07-31 02:58:00;lightning;468744;907879;0.1860032248787339;38,1;12,53;25095;9750609743;34867881
116;2025-07-31 02:59:01;lightning;469762;907879;0.1875271633198435;37,5;12,96;25027;9751511312;34870802
117;2025-07-31 03:00:02;lightning;470715;907879;0.1889977788586939;22,2;13,84;24744;9752464615;34872638
118;2025-07-31 03:01:06;lightning;471599;907879;0.1903509272680146;30,8;13,62;25405;9753992104;34878042
119;2025-07-31 03:02:06;lightning;472752;907879;0.1920018234037996;38,1;14,44;24753;9754529986;34879231
120;2025-07-31 03:03:08;lightning;473786;907879;0.1934296849726878;37,1;12,86;25824;9755493138;34881025
121;2025-07-31 03:04:08;lightning;474855;907879;0.1947298655959418;37,1;13,45;25084;9756421435;34883393
122;2025-07-31 03:05:15;lightning;475889;907879;0.1959744757844372;33,9;12,92;24711;9757390881;34885763
123;2025-07-31 03:06:18;lightning;476899;907879;0.1972516069809143;32,8;12,89;25074;9758770001;34890688
124;2025-07-31 03:07:19;lightning;478198;907879;0.1987746428181051;38,7;13,47;24938;9759490483;34893174
125;2025-07-31 03:08:19;lightning;479403;907879;0.2001012709392138;36,5;14,03;25118;9760506314;34895941
