ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
106;2025-07-22 04:48:59;estandar;466258;906610;0.1823091032631431;39,1;13,78;160838;5611194121;21582280
107;2025-07-22 04:49:59;estandar;467218;906610;0.18388687952036;36,5;13,39;161922;5612140315;21584882
108;2025-07-22 04:50:59;estandar;468258;906610;0.1857594240923081;34,9;13,18;163506;5613215781;21587569
109;2025-07-22 04:52:00;estandar;469075;906610;0.1870807895150105;41,5;13,12;164084;5614013457;21590087
110;2025-07-22 04:53:01;estandar;470024;906610;0.1884636297180644;35,5;13,35;165098;5614989661;21593895
111;2025-07-22 04:54:03;estandar;470904;906610;0.1898011210894166;38,1;13,31;166374;5615887976;21596450
112;2025-07-22 04:55:04;estandar;471938;906610;0.1913327327941783;37,5;13,18;167460;5617028937;21600519
113;2025-07-22 04:56:09;estandar;472850;906610;0.1926623541871454;40,6;13,21;168747;5617858062;21602377
114;2025-07-22 04:57:14;estandar;473965;906610;0.1941583033286854;20,6;13,37;169719;5619086237;21606274
115;2025-07-22 04:58:15;estandar;475019;906610;0.1954724520010646;35,9;13,25;170888;5619780741;21608120
116;2025-07-22 04:59:15;estandar;476222;906610;0.196925754844806;33,9;13,82;171842;5620880619;21611727
117;2025-07-22 05:00:15;estandar;477445;906611;0.1984072017966707;35,5;13,53;173290;5621936402;21614821
118;2025-07-22 05:01:21;estandar;478484;906612;0.199692309193145;34,9;13,26;174235;5622905697;21618326
119;2025-07-22 05:02:27;estandar;479400;906612;0.2006834547740698;34,9;13,40;176009;5624450576;21624925
120;2025-07-22 05:03:27;estandar;480599;906612;0.2024952071073228;42,9;14,33;176383;5624907240;21625912
121;2025-07-22 05:04:34;estandar;481758;906612;0.2043709703883254;37,5;13,19;178160;5626266119;21630370
122;2025-07-22 05:05:34;estandar;482761;906612;0.2058919210841344;38,1;13,26;179206;5627039931;21633186
